UBICACIÓN; 92,115,61;
UBICADA; 12,60,18;
UBICADAS; 205;
UBICADO; 61,27;
UBICADOS; 66,61;
ULTIMA; 144,92;
ULTIMO; 8;
UN; 8,12,149,116,115,102,88,119,117,47,45,40,31,241,204,140,138,89,85,66,61,42,37,242,239,234,213,212,203,198,167,161,160,156,141,137,132,128,125,124,123,122,121,120,118,114,112,111,110,109,107,101,95,90,87,86,74,71,70,69,60,58,56,54,50,48,34,26,22,15,7,3,246,240,237,236,232,231,230,229,209,208,206,201,200,196,189,187,186,185,180,178,177,172,170,169,168,166,162,157,155,154,150,147,146,144,136,131,130,129,127,126,106,104,103,100,99,98,91,84,81,68,64,63,55,51,46,32,23,18,14,13,9;
UNA; 9,8,61,205,7,240,225,208,204,101,76,71,47,37,15,242,238,237,235,234,230,229,219,211,206,196,191,154,142,139,137,110,102,82,74,73,72,66,64,31,21,18,246,241,239,236,231,226,223,216,215,213,212,210,209,192,175,172,161,160,146,145,144,141,140,138,135,134,133,124,122,108,106,104,100,90,81,80,79,78,75,70,69,62,60,55,26,22,16,13,12;
UNO; 149,196,159,155,128,111,106,102,101,70,63,26,21,8,5;
URBANO; 61,85,12;
URBANOS; 101,27;
URL; 7,27,2;
USTED; 136,9,239,245,236,234,211,143,140,135,134,130;
USUARIO; 149,162,132,128,117,118,116,237,187,8,7,241,188,184,167,92,85,61,2,189,185,180,166,159,156,153,151,150,140,105,233,228,216,192,186,168,165,164,152,147,129,98,93,84,82,66,59,57,53,46,11,9,3,1;
USUARIOS; 164,163,162,153,152,151,150,148,210,167,165,161,238,186,185,156,149,147,241,237,188,184,159,155,154,128,118,117,116;
UTILICE; 89,51;
UTILIZA; 71,12;
UTILIZADA; 175,25,3;
UTILIZADAS; 70;
UTILIZADO; 231,8;
UTILIZADOS; 66,61,8;
UTILIZANDO; 161,126,115,114,87,80;
UTILIZAR; 8,76,71,48,32,7;
UTILIZARÁ; 149,46,7;
UTILIZARÁN; 156,155;
